fecha,dato
2011-07-26,11.6172
2011-07-27,11.6527
2011-07-28,11.6821
2011-07-29,11.7425
2011-08-01,11.7514
2011-08-02,11.7657
2011-08-03,11.8473
2011-08-04,11.9523
2011-08-05,11.9794
2011-08-08,12.1845
2011-08-09,12.371
2011-08-10,12.3221
2011-08-11,12.3899
2011-08-12,12.2992
2011-08-15,12.2424
2011-08-16,12.2631
2011-08-17,12.1651
2011-08-18,12.3685
2011-08-19,12.2386
2011-08-22,12.2948
2011-08-23,12.3357
2011-08-24,12.3952
2011-08-25,12.4259
2011-08-26,12.4953
2011-08-29,12.4148
2011-08-30,12.4838
2011-08-31,12.348
2011-09-01,12.2616
2011-09-02,12.3735
2011-09-05,12.5353
2011-09-06,12.5102
2011-09-07,12.4661
2011-09-08,12.4956
2011-09-09,12.6324
2011-09-12,12.7687
2011-09-13,12.8994
2011-09-14,12.9646
2011-09-15,12.9127
2011-09-19,13.186
2011-09-20,13.1669
2011-09-21,13.4045
2011-09-22,13.8917
2011-09-23,13.7788
2011-09-26,13.6677
2011-09-27,13.3414
2011-09-28,13.4217
2011-09-29,13.4567
2011-09-30,13.7994
2011-10-03,13.8967
2011-10-04,13.9714
2011-10-05,13.6675
2011-10-06,13.5341
2011-10-07,13.3143
2011-10-10,13.2751
2011-10-11,13.3266
2011-10-12,13.2213
2011-10-13,13.3647
2011-10-14,13.2711
2011-10-17,13.2952
2011-10-18,13.4445
2011-10-19,13.3733
2011-10-20,13.6628
2011-10-21,13.5996
2011-10-24,13.4889
2011-10-25,13.4459
2011-10-26,13.4914
2011-10-27,13.1973
2011-10-28,13.1132
2011-10-31,13.1802
2011-11-01,13.6282
2011-11-03,13.4128
2011-11-04,13.4698
2011-11-07,13.4504
2011-11-08,13.3852
2011-11-09,13.5252
2011-11-10,13.5622
2011-11-11,13.4165
2011-11-14,13.5122
2011-11-15,13.5672
2011-11-16,13.5847
2011-11-17,13.6375
2011-11-18,13.7033
2011-11-22,13.9812
2011-11-23,14.1291
2011-11-24,14.1778
2011-11-25,14.2443
2011-11-28,14.0344
2011-11-29,13.9538
2011-11-30,13.61
2011-12-01,13.5894
2011-12-02,13.5488
2011-12-05,13.4786
2011-12-06,13.497
2011-12-07,13.5118
2011-12-08,13.6569
2011-12-09,13.6406
2011-12-13,13.7714
2011-12-14,13.9412
2011-12-15,13.823
2011-12-16,13.845
2011-12-19,13.8542
2011-12-20,13.772
